Gene	F_Hom	E_Hom	D_Hom	C_Wt	B_Wt	A_Wt
0610005C13Rik	1	0	0	0	0	5
0610007P14Rik	836	755	862	549	587	582
0610009B22Rik	200	233	197	119	95	132
0610009E02Rik	17	18	7	9	6	13
0610009L18Rik	58	41	39	32	25	36
0610009O20Rik	1233	1352	1295	792	855	761
0610010F05Rik	309	408	330	171	186	201
0610010K14Rik	6	7	3	11	1	2
0610011F06Rik	434	357	377	318	317	307
0610012D04Rik	0	4	3	2	0	4
0610012G03Rik	319	290	250	295	192	208
0610025J13Rik	4	2	1	2	2	0
0610030E20Rik	718	835	805	491	516	473
0610031O16Rik	0	1	0	1	0	0
0610037L13Rik	822	765	743	592	590	531
0610038B21Rik	16	14	12	12	4	7
0610039K10Rik	1	4	1	1	4	4
0610040B10Rik	10	6	10	11	7	16
0610040F04Rik	0	0	4	2	1	2
0610040J01Rik	519	424	444	274	402	375
0610043K17Rik	7	3	3	6	14	4
1010001B22Rik	10	14	3	9	13	9
1010001N08Rik	57	38	33	22	33	15
1110001J03Rik	168	146	164	136	115	135
1110002E22Rik	30	30	26	20	17	16
1110002J07Rik	2	4	8	3	2	0
1110002L01Rik	122	124	114	78	103	58
1110004E09Rik	769	612	591	519	562	579
1110004F10Rik	1549	1558	1671	1016	1084	1073
1110007C09Rik	653	603	731	528	492	469
1110008E08Rik	0	0	0	0	0	0
1110008F13Rik	2137	2193	2182	1219	1280	1356
1110008L16Rik	190	174	183	108	140	111
1110008P14Rik	523	443	583	404	491	445
1110012L19Rik	442	422	465	235	267	240
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	339	263	262	269	330	278
1110018N20Rik	24	14	20	19	7	11
1110019D14Rik	74	85	52	36	58	64
1110020A21Rik	15	14	6	12	8	2
1110025L11Rik	0	0	0	0	0	0
1110028F11Rik	12	8	12	5	8	7
1110028F18Rik	0	1	0	0	0	0
1110032A03Rik	632	504	464	331	452	457
1110032F04Rik	23	14	16	13	8	4
1110034G24Rik	267	288	317	206	172	214
1110035H17Rik	13	7	4	11	19	16
1110036E04Rik	0	0	0	0	0	0
1110037F02Rik	1253	1436	1347	794	856	736
1110038B12Rik	95	96	103	78	44	47
1110038F14Rik	600	543	700	508	546	618
1110046J04Rik	71	90	79	42	79	69
1110051M20Rik	708	687	714	452	555	562
1110054M08Rik	187	171	164	166	167	138
1110057K04Rik	701	815	723	452	488	426
1110057P08Rik	0	0	0	0	0	0
1110058L19Rik	290	264	291	177	183	190
1110059E24Rik	638	670	671	415	445	511
1110059G10Rik	371	352	414	253	255	263
1110065P20Rik	338	304	343	263	200	169
1190002F15Rik	41	64	80	23	10	16
1190002N15Rik	2855	2710	2434	1493	1772	1743
1190003K10Rik	1	0	0	0	0	0
1190005I06Rik	2	0	5	2	5	0
1190007I07Rik	70	64	63	45	51	59
1200007C13Rik	9	20	16	7	9	13
1200014J11Rik	632	718	767	411	423	387
1300002E11Rik	265	206	216	163	187	200
1300017J02Rik	8	7	5	5	6	3
1500002C15Rik	26	34	30	20	19	17
1500004A13Rik	12	13	20	10	26	10
1500009C09Rik	0	0	0	0	0	0
1500009L16Rik	69	66	46	37	27	37
1500011B03Rik	173	119	223	115	93	148
1500011K16Rik	544	427	483	359	368	505
1500012F01Rik	309	264	328	213	241	216
1500012K07Rik	0	1	2	0	1	0
1500015A07Rik	29	16	34	24	24	35
1500015L24Rik	0	2	0	1	2	0
1500015O10Rik	30	27	30	27	17	13
1500017E21Rik	14	6	10	7	6	6
1500026H17Rik	11	15	8	7	10	14
1500035N22Rik	15	4	7	8	4	5
1520401A03Rik	0	0	0	0	0	0
1600002D24Rik	1	0	0	1	2	1
1600002H07Rik	232	210	280	149	145	120
1600002K03Rik	154	125	168	98	111	116
1600010M07Rik	48	64	70	21	19	24
1600012H06Rik	1041	991	1019	526	611	547
1600012P17Rik	0	0	0	0	0	0
1600014C10Rik	688	780	784	400	466	368
1600014C23Rik	1	0	0	0	0	0
1600014K23Rik	0	0	0	0	0	0
1600015I10Rik	0	1	1	0	0	0
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	111	123	104	64	90	100
1600025M17Rik	0	0	0	0	0	0
1600029I14Rik	402	320	299	251	308	407
1600029O15Rik	2	1	2	1	0	1
1700001C02Rik	149	136	94	78	114	113
1700001C19Rik	5	4	4	4	2	2
1700001D01Rik	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0
1700001G11Rik	0	2	4	5	2	1
1700001J03Rik	3	2	1	3	1	3
1700001J04Rik	0	0	0	0	0	0
1700001J11Rik	14	7	7	2	6	3
1700001K19Rik	0	0	0	0	1	0
1700001L05Rik	34	42	27	25	16	23
1700001L19Rik	180	141	110	101	131	123
1700001O22Rik	14	17	7	12	10	5
1700001P01Rik	0	1	3	0	2	1
1700003C15Rik	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	2	0
1700003E16Rik	174	119	129	115	117	135
1700003E24Rik	0	0	0	0	0	0
1700003F12Rik	2	0	4	1	0	1
1700003G13Rik	1	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	1	0
1700003M02Rik	389	340	281	196	268	299
1700003M07Rik	0	2	1	1	1	0
1700003P14Rik	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0
1700006F04Rik	1	1	0	1	0	0
1700006H21Rik	0	0	0	0	0	0
1700006J14Rik	0	7	3	1	0	1
1700007B14Rik	0	0	0	0	0	1
1700007E05Rik	1	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0
1700007G11Rik	61	72	28	42	41	54
1700007J10Rik	0	0	0	0	0	0
1700007K09Rik	0	0	0	1	1	2
1700007K13Rik	224	168	178	136	139	189
1700007L15Rik	12	18	16	6	14	12
1700007M16Rik	0	0	0	0	0	0
1700007P06Rik	0	0	0	0	0	1
1700008F21Rik	0	0	0	0	0	0
1700008I05Rik	1	0	2	0	1	0
1700008J07Rik	72	85	65	33	47	54
1700008K24Rik	0	0	0	0	0	0
1700008O03Rik	6	2	2	11	5	1
1700008P02Rik	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0
1700009J07Rik	1	9	5	2	1	0
1700009N14Rik	0	0	0	0	0	0
1700009P17Rik	367	306	306	234	327	346
1700010B08Rik	0	0	0	0	0	0
1700010B13Rik	0	0	1	0	0	1
1700010D01Rik	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0
1700010I14Rik	60	49	41	42	35	27
1700010J16Rik	0	0	0	0	1	0
1700010K23Rik	0	0	0	0	0	0
1700010K24Rik	2	0	1	1	0	1
1700010L04Rik	0	0	0	0	0	0
1700010N08Rik	0	0	0	0	0	0
1700011A15Rik	0	0	0	0	0	1
1700011B04Rik	0	0	1	0	0	0
1700011E24Rik	0	0	0	0	0	0
1700011H14Rik	0	1	0	0	0	0
1700011I03Rik	0	0	1	0	1	2
1700011L22Rik	0	0	1	0	0	0
1700011M02Rik	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0
1700012B07Rik	3	3	3	1	0	1
1700012B09Rik	52	27	20	23	15	34
1700012C08Rik	0	0	0	0	0	0
1700012C14Rik	0	0	0	0	1	1
1700012E03Rik	0	0	0	0	0	0
1700012I11Rik	3	3	1	6	0	6
1700012L04Rik	1	0	0	0	1	1
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0
1700013F07Rik	93	69	52	60	63	63
1700013G24Rik	0	0	0	0	0	0
1700013H16Rik	2	0	0	1	1	0
1700013N06Rik	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	1	1
1700015E13Rik	0	0	0	0	0	0
1700015F17Rik	1	0	1	0	0	1
1700015G11Rik	0	0	0	0	0	0
1700015O11Rik	0	0	0	1	1	1
1700016C15Rik	8	3	9	8	3	3
1700016D06Rik	0	0	0	0	0	1
1700016G14Rik	0	0	0	2	2	0
1700016G22Rik	0	0	0	0	0	0
1700016H13Rik	9	6	5	4	5	3
1700016K19Rik	450	325	314	293	395	422
1700016L21Rik	0	0	0	0	0	0
1700016P03Rik	5	2	3	0	2	2
1700016P04Rik	0	0	0	0	0	0
1700017B05Rik	1014	933	1048	673	695	612
1700017D01Rik	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0
1700017I07Rik	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0
1700018A04Rik	54	22	38	18	15	21
1700018B08Rik	0	0	0	0	1	0
1700018B24Rik	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0
1700018F24Rik	0	3	3	1	1	0
1700018L02Rik	15	16	13	11	12	12
1700018M17Rik	0	0	0	0	0	0
1700019A02Rik	0	1	0	0	0	0
1700019B03Rik	0	0	0	3	1	0
1700019B21Rik	0	0	0	0	0	0
1700019D03Rik	35	25	23	17	29	23
1700019E08Rik	0	0	0	0	0	0
1700019G17Rik	82	78	73	45	69	55
1700019G24Rik	0	1	1	0	0	4
1700019L03Rik	195	119	137	102	142	164
1700019M22Rik	0	0	0	0	0	0
1700019N19Rik	0	0	0	1	0	1
1700019O17Rik	1	0	1	0	3	0
1700019P21Rik	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0
1700020D05Rik	4	3	2	2	2	0
1700020G17Rik	0	0	0	0	0	1
1700020I14Rik	4261	5033	4171	2230	2809	2681
1700020L24Rik	14	18	17	3	3	6
1700020M21Rik	0	1	0	0	0	0
1700020N01Rik	0	1	0	1	0	1
1700020N15Rik	0	0	0	0	0	0
1700020N18Rik	13	13	5	5	14	4
1700021A07Rik	1	1	0	0	1	1
1700021F05Rik	267	211	289	174	163	185
1700021F07Rik	0	0	0	0	0	0
1700021J08Rik	0	0	0	0	0	0
1700021K19Rik	1316	1422	1229	828	919	747
1700021L23Rik	0	0	0	0	0	0
1700021N21Rik	0	0	0	2	0	0
1700021P04Rik	0	0	0	0	0	0
1700022A21Rik	0	0	0	1	0	0
1700022A22Rik	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0
1700022F17Rik	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0
1700022N22Rik	4	5	4	8	3	2
1700023C21Rik	0	0	0	0	0	0
1700023E05Rik	17	14	10	7	8	6
1700023F02Rik	0	0	0	0	0	0
1700023F06Rik	2	1	1	0	1	2
1700023H06Rik	0	0	1	0	1	0
1700023L04Rik	68	65	55	45	50	52
1700024B05Rik	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	1
1700024G13Rik	183	124	103	88	135	128
1700024J04Rik	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0
1700024P16Rik	5	6	4	1	0	2
1700025B11Rik	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0
1700025F24Rik	0	0	0	2	1	1
1700025G04Rik	528	607	640	337	406	351
1700025H01Rik	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0
1700025N21Rik	0	0	0	0	0	0
1700025N23Rik	0	2	0	1	0	1
1700025O08Rik	0	0	0	0	0	0
1700026D08Rik	229	178	159	146	158	186
1700026D11Rik	0	0	0	1	1	0
1700026F02Rik	0	0	0	0	0	0
1700026J12Rik	0	0	0	0	0	0
1700026J14Rik	1	1	0	2	1	2
1700026L06Rik	132	121	75	99	110	138
1700027A07Rik	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	1	0
1700027F09Rik	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0
1700027I24Rik	0	0	1	0	0	0
1700028B04Rik	7	2	5	2	7	3
1700028D13Rik	0	0	0	0	0	0
1700028E10Rik	5	2	6	6	6	8
1700028I16Rik	1	0	2	0	0	0
1700028J19Rik	3	8	10	8	3	11
1700028K03Rik	0	3	2	2	1	0
1700028M03Rik	0	0	0	0	0	0
1700028N14Rik	1	0	1	0	0	1
1700028P14Rik	58	48	37	31	32	47
1700028P15Rik	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0
1700029H14Rik	0	4	0	0	1	0
1700029I15Rik	10	16	18	8	11	20
1700029J03Rik	1	0	2	1	2	1
1700029J07Rik	145	135	87	70	71	111
1700029M03Rik	0	0	0	0	0	0
1700029M20Rik	0	0	0	1	1	0
1700029N11Rik	0	0	0	0	0	1
1700029P11Rik	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0
1700030C10Rik	0	0	1	0	1	0
1700030C12Rik	0	0	0	0	0	0
1700030C14Rik	0	0	0	0	0	0
1700030F04Rik	0	0	0	0	0	0
1700030J22Rik	75	85	76	66	58	66
1700030K09Rik	166	174	178	122	138	118
1700030L20Rik	0	0	0	0	0	0
1700030M09Rik	0	2	0	0	0	0
1700030N03Rik	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0
1700034B16Rik	0	0	0	0	0	0
1700034E13Rik	3	0	1	3	1	2
1700034G24Rik	1	0	0	0	0	0
1700034H15Rik	6	7	7	4	4	5
1700034I23Rik	0	2	0	0	0	0
1700034J05Rik	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0
1700034P13Rik	0	4	0	0	0	0
1700036A12Rik	0	0	1	0	0	1
1700036G14Rik	0	0	0	0	0	0
1700036O09Rik	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0
1700037C18Rik	163	125	131	104	135	126
1700037F24Rik	0	0	0	0	0	0
1700037H04Rik	274	297	345	220	227	217
1700039E15Rik	1	0	0	0	1	0
1700039E22Rik	0	0	0	0	0	0
1700039M10Rik	0	0	0	0	0	0
1700040D17Rik	1	1	3	2	2	0
1700040F17Rik	0	0	0	0	0	0
1700040L02Rik	139	93	127	97	116	122
1700041C23Rik	0	0	0	0	0	0
1700041G16Rik	7	20	15	3	11	11
1700041M05Rik	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0
1700042B14Rik	0	0	0	0	0	1
1700042G07Rik	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0
1700047A11Rik	0	0	0	0	0	0
1700047F07Rik	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	0	0
1700047I17Rik2	61	78	69	52	35	49
1700047K16Rik	4	0	0	0	5	1
1700047L14Rik	0	0	0	0	0	0
1700047M11Rik	6	4	6	0	2	0
1700048M11Rik	0	0	0	0	0	0
1700048O20Rik	30	21	25	15	6	16
1700049E15Rik	2	0	0	0	1	0
1700049E17Rik1	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0
1700049G17Rik	116	150	140	59	69	64
1700049J03Rik	0	0	0	0	0	0
1700049L16Rik	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0
1700052K11Rik	155	158	139	96	104	120
1700052N19Rik	282	277	308	158	116	143
1700054A03Rik	0	2	1	0	1	0
1700054K02Rik	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0
1700055D18Rik	4	8	7	8	3	3
1700055N04Rik	12	15	3	9	12	7
1700056E22Rik	4	9	5	4	6	6
1700056N10Rik	13	13	6	13	7	7
1700057G04Rik	0	0	0	0	0	0
1700057H15Rik	0	0	0	0	0	0
1700057H21Rik	0	0	0	0	0	0
1700058P15Rik	0	0	1	0	1	2
1700060C16Rik	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0
1700060J05Rik	0	0	0	0	0	0
1700060O08Rik	0	0	0	0	0	0
1700061E17Rik	0	0	1	1	0	0
1700061E18Rik	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0
1700061G19Rik	8	7	7	4	9	5
1700061H18Rik	0	0	1	0	1	0
1700061I17Rik	0	2	0	1	0	0
1700061J23Rik	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0
1700063H04Rik	0	2	0	0	0	1
1700063H06Rik	0	0	0	0	0	0
1700063K16Rik	0	1	0	2	0	0
1700063O14Rik	0	0	1	0	0	1
1700064H15Rik	2	0	2	1	0	1
1700064J06Rik	0	0	0	0	0	0
1700064M15Rik	1	2	2	1	4	0
1700065D16Rik	3	0	0	0	0	0
1700065I16Rik	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0
1700066B17Rik	2	0	0	0	0	0
1700066B19Rik	9	11	15	8	5	7
1700066C05Rik	0	0	0	0	0	0
1700066J03Rik	0	0	0	0	0	0
1700066M21Rik	222	242	242	99	91	117
1700066N21Rik	0	0	0	1	0	0
1700066O22Rik	1	0	0	0	0	1
1700067G17Rik	0	0	0	0	0	0
1700067K01Rik	10	3	6	1	3	8
1700067P10Rik	0	0	0	0	0	0
1700069B07Rik	2	0	2	0	1	2
1700069L16Rik	1	0	0	1	2	0
1700071G01Rik	0	0	0	0	0	0
1700071K01Rik	1	0	1	0	1	1
1700071M16Rik	0	0	0	0	0	0
1700072B07Rik	0	0	0	0	0	0
1700072G22Rik	0	0	0	0	0	0
1700073E17Rik	1	1	0	0	0	0
1700074H08Rik	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0
1700080G11Rik	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0
1700082M22Rik	0	1	0	0	1	2
1700083H02Rik	0	0	0	0	0	0
1700084C01Rik	20	14	15	15	28	12
1700084C06Rik	3	1	0	4	2	2
1700084E18Rik	12	9	11	9	8	10
1700084F23Rik	0	0	0	0	0	0
1700084J12Rik	1	1	1	2	1	2
1700084M14Rik	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0
1700086D15Rik	3	5	0	2	2	1
1700086L19Rik	2	2	3	3	1	5
1700086O06Rik	41	48	60	46	44	31
1700086P04Rik	4	4	6	0	3	4
1700087M22Rik	0	0	0	0	0	0
1700088E04Rik	362	258	268	242	309	262
1700091H14Rik	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0
1700092C17Rik	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0
1700092M07Rik	0	2	0	0	0	0
1700093J21Rik	0	2	0	0	0	0
1700093K21Rik	0	0	0	1	3	2
1700094J05Rik	0	0	0	0	0	0
1700095A13Rik	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0
1700095J03Rik	8	5	5	3	5	5
1700095J07Rik	1	0	0	0	0	0
1700095J12Rik	0	0	0	0	0	0
1700096J18Rik	0	0	0	0	0	0
1700096K18Rik	86	83	54	58	57	64
1700097N02Rik	0	9	12	2	2	1
1700099I09Rik	0	1	2	1	0	0
1700100L14Rik	0	0	0	0	0	0
1700101E01Rik	208	183	148	144	159	196
1700101I11Rik	1	6	2	4	5	0
1700101I19Rik	0	0	0	0	0	0
1700101O22Rik	0	0	0	0	0	0
1700102P08Rik	10	15	12	8	11	11
1700104B16Rik	0	2	0	0	2	2
1700105P06Rik	4	3	3	5	0	0
1700106J16Rik	0	0	0	0	0	0
1700108F19Rik	3	1	1	1	1	1
1700108J01Rik	0	0	0	0	0	0
1700108N11Rik	0	0	0	0	1	0
1700109G14Rik	0	0	0	0	0	0
1700109G15Rik	0	0	0	0	0	0
1700109H08Rik	5	12	10	1	10	15
1700109I08Rik	0	0	0	0	0	0
1700109K24Rik	0	0	0	0	0	0
1700110C19Rik	3	5	1	0	1	2
1700110I01Rik	0	0	0	0	0	0
1700110I07Rik	0	1	0	1	0	2
1700110K17Rik	1	1	0	0	0	0
1700111E14Rik	0	0	0	0	0	0
1700111N16Rik	0	2	0	0	0	0
1700112D23Rik	0	5	2	1	1	1
1700112E06Rik	126	110	126	85	82	126
1700112H15Rik	0	0	0	0	0	0
1700112J05Rik	0	0	0	0	0	0
1700112J16Rik	3	2	4	3	0	2
1700112K13Rik	0	0	0	0	0	0
1700113A16Rik	36	31	31	18	25	21
1700113H08Rik	0	1	5	0	3	0
1700116B05Rik	1	0	0	0	0	0
1700119H24Rik	0	2	0	0	0	0
1700119I11Rik	0	0	0	0	0	0
1700120B22Rik	0	1	0	0	0	0
1700120C14Rik	27	10	24	8	16	20
1700120C18Rik	0	0	0	0	0	0
1700120E14Rik	0	0	0	0	0	0
1700120G07Rik	0	0	0	0	0	0
1700120G11Rik	0	0	0	0	0	0
1700120K04Rik	0	0	0	0	1	0
1700120O09Rik	0	0	0	0	0	0
1700121C08Rik	0	0	0	0	0	0
1700121L03Rik	0	0	0	0	0	0
1700121L16Rik	0	0	0	0	0	0
1700121N20Rik	0	0	0	0	0	0
1700122D07Rik	0	0	0	0	0	0
1700122E12Rik	0	1	1	0	2	1
1700122O11Rik	0	0	0	0	0	0
1700123I01Rik	10	9	5	6	7	2
1700123K08Rik	0	0	0	0	0	0
1700123L14Rik	0	2	1	2	0	0
1700123M08Rik	11	17	35	9	14	9
1700123O12Rik	0	0	0	0	0	0
1700123O20Rik	324	350	369	247	216	236
1700123O21Rik	0	0	0	0	0	0
1700124L16Rik	1	2	0	1	2	1
1700125G02Rik	0	0	0	0	0	0
1700125G22Rik	2	0	0	1	2	0
1700125H03Rik	0	0	0	0	0	0
1700125H20Rik	1	0	0	1	0	1
1700126A01Rik	0	0	0	0	0	0
1700126H18Rik	0	0	0	0	0	0
1700128A07Rik	0	0	0	0	0	0
1700128E19Rik	0	0	0	0	0	0
1700128F08Rik	0	0	0	1	1	0
1700129C05Rik	0	0	0	0	0	0
1700129L04Rik	0	0	0	0	0	0
1810006J02Rik	6	12	11	13	4	8
1810007C17Rik	0	0	0	0	0	0
1810007D17Rik	0	0	0	0	0	0
1810008B01Rik	0	0	0	0	0	0
1810008I18Rik	36	33	28	13	32	33
1810009A15Rik	1	0	1	0	1	1
1810009J06Rik	0	0	0	0	0	0
1810010H24Rik	945	942	896	678	938	738
1810010K12Rik	0	0	0	0	0	0
1810011H11Rik	41	57	75	41	39	38
1810011O10Rik	1232	1246	1204	793	699	631
1810012K08Rik	0	0	0	0	0	0
1810012K16Rik	3	1	1	1	1	0
1810013D15Rik	0	0	0	1	0	2
1810013L24Rik	1248	1384	1315	693	833	772
1810014B01Rik	25	21	14	13	15	14
1810018F18Rik	0	0	0	0	0	0
1810019D21Rik	289	238	183	142	180	206
1810019N24Rik	3	4	3	6	1	5
1810020O05Rik	17	12	12	10	9	12
1810021B22Rik	31	26	43	30	38	31
1810022K09Rik	131	153	118	111	99	129
1810024B03Rik	20	15	13	11	8	14
1810026B05Rik	34	48	29	34	36	40
1810026J23Rik	858	974	852	548	568	605
1810030O07Rik	1055	1042	1046	658	726	767
1810032O08Rik	73	79	107	65	47	63
1810034E14Rik	84	87	72	53	55	57
1810037I17Rik	1645	1434	1542	1107	1212	1457
1810041H14Rik	23	25	22	15	23	25
1810041L15Rik	138	100	112	125	113	119
1810043G02Rik	244	228	206	148	179	176
1810043H04Rik	257	276	306	194	326	255
1810044D09Rik	44	44	44	38	47	32
1810046K07Rik	1	2	4	5	1	0
1810049J17Rik	0	0	0	0	1	0
1810053B23Rik	3	2	0	0	1	0
1810055G02Rik	274	254	252	161	139	140
1810058I24Rik	1034	1341	1044	850	732	700
1810059C17Rik	1	0	0	0	0	0
1810059H22Rik	44	25	27	19	25	47
1810062G17Rik	35	36	29	30	26	19
1810062O18Rik	14	4	12	7	4	14
1810063I02Rik	4	6	8	6	1	14
1810064F22Rik	41	37	30	18	30	23
1810065E05Rik	1	0	0	0	0	0
2010001A14Rik	101	77	76	91	103	97
2010001E11Rik	0	2	0	0	0	0
2010001K21Rik	53	29	18	21	19	40
2010002M12Rik	50	60	55	31	38	42
2010003K11Rik	1	2	8	2	0	0
2010005H15Rik	13	14	13	8	14	14
2010007H06Rik	159	121	119	101	133	167
2010009K17Rik	0	0	0	0	0	0
2010010A06Rik	5	4	1	2	7	2
2010012O05Rik	414	315	329	256	265	311
2010013B24Rik	1	2	4	2	0	1
2010015M23Rik	5	6	2	2	4	5
2010016I18Rik	35	25	31	8	25	12
2010106C02Rik	2	0	0	1	0	0
2010106E10Rik	0	0	0	0	0	0
2010107E04Rik	922	921	895	562	557	781
2010107G12Rik	18	10	18	9	17	9
2010107G23Rik	111	96	82	65	78	85
2010109A12Rik	5	0	0	4	8	0
2010109I03Rik	22	24	20	28	25	23
2010110E17Rik	0	1	1	0	0	0
2010110K18Rik	0	6	5	0	2	0
2010111I01Rik	1369	1147	1178	790	715	737
2010204K13Rik	37	22	21	27	13	28
2010300C02Rik	690	604	586	409	578	509
2010300F17Rik	1	0	4	7	2	3
2010308F09Rik	0	0	0	1	0	0
2010310C07Rik	6	5	5	4	8	4
2010315B03Rik	245	267	227	126	159	189
2010320M18Rik	404	389	389	329	299	263
2010320O07Rik	0	2	0	0	0	0
2200002D01Rik	289	254	240	222	243	242
2200002J24Rik	0	0	1	0	0	0
2210008F06Rik	5	2	6	1	2	2
2210010C04Rik	1	0	0	0	0	0
2210011C24Rik	357	294	316	274	367	403
2210011K15Rik	0	0	0	0	0	0
2210013O21Rik	517	475	481	357	346	377
2210015D19Rik	359	342	361	239	228	214
2210016F16Rik	1015	938	1101	695	739	744
2210016L21Rik	695	641	717	499	512	552
2210017G18Rik	7	8	7	8	14	19
2210017I01Rik	0	0	0	0	0	0
2210018M11Rik	743	807	778	423	570	523
2210019I11Rik	0	0	0	0	0	0
2210404O09Rik	90	79	99	50	51	56
2210406O10Rik	3	0	2	1	3	3
2210407C18Rik	2	3	3	0	0	2
2210408F21Rik	46	67	39	37	46	49
2210408I21Rik	160	156	153	77	85	85
2210409E12Rik	0	0	0	0	0	0
2210411M09Rik	0	1	1	0	0	1
2210414B05Rik	1	0	0	0	0	3
2210417A02Rik	2	3	10	7	2	0
2210418O10Rik	15	15	13	11	20	5
2210420H20Rik	0	1	0	0	0	0
2300002M23Rik	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0
2300005B03Rik	20	17	14	10	21	26
2300009A05Rik	124	112	96	88	66	71
2310001H17Rik	121	153	134	105	157	110
2310001K24Rik	9	2	3	4	3	4
2310002F09Rik	36	28	22	16	21	20
2310002L09Rik	2	2	5	0	2	5
2310003H01Rik	666	598	659	511	449	377
2310003L06Rik	0	0	0	0	0	0
2310005A03Rik	0	0	0	0	0	0
2310005E17Rik	0	0	0	0	0	0
2310007B03Rik	1278	1124	1228	991	1132	1209
2310007L24Rik	269	127	153	172	183	187
2310008N11Rik	0	0	0	0	0	0
2310009B15Rik	116	124	146	102	113	87
2310010G23Rik	15	16	12	7	6	11
2310010J17Rik	35	59	50	36	63	46
2310011J03Rik	1264	1142	1269	943	867	892
2310014F06Rik	7	10	4	3	7	2
2310014L17Rik	29	39	29	20	25	29
